historicSpotId,name,areaName,yomigana,latitude,longitude,typeRegisterStamp,url,gpsMeter,worship_card_top_image_url,worshipUrl,img,date,dateStart,dateEnd,proverbs,timeStartWeekDays,timeEndWeekDays,timeStartHoliday,timeEndHoliday
jinguu_spot_01,"神社検索ｼｽﾃﾑ研究部会
　部会長：新田均",活動拠点,"　皇學館大学
現代日本社会学部",34.48450734048243,136.72693322889572,sample,https://jinja-net.jp/jinja-all/index.html,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,人間のやったことは、人間がまだやれることの100分の1にすぎない。(豊田佐吉 ),9:00,10:00,8:00,12:00
jinguu_spot_02,"　　神社史研究会　　
　会長：白山芳太郎",活動団体,"皇學館大学神道学科
　式内社研究部会",34.48450734048243,136.72693322889572,sample,https://www.jinja-net.jp/jinja-shi/,20,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,https://smart-gosyuin.jp/,参拝画像.png,,,,進まざる者は必ず退き、退かざる者は必ず進む。(福澤諭吉),9:00,10:00,8:00,12:00
nexco-1017,安濃SA,伊勢自動車道,ano,34.778375419739156,136.4715433332016,gpsDate,https://sapa.c-nexco.co.jp/sapa?sapainfoid=138,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,安濃SA.png,2025-04-08,2025-04-08 10:00:00,2025-04-08 16:00:00,2-190　真木柱太き心はありしかどこのあが心鎮めかねつも / 舎人,9:00,10:00,8:00,12:00
nexco-1024,多気PA,伊勢自動車道,taki,34.46510822262419,136.57217712743017,gpsDate,https://sapa.c-nexco.co.jp/sapa?sapainfoid=142,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,多気PA.png,2025/7/18,2025-07-18 17:00:00,2025-07-18 19:30:00,1-84　秋さらば今も見るごと妻恋ひに鹿鳴かむ山そ高野原の上 / 長皇子,9:00,10:00,8:00,12:00
nexco-1025,玉城IC,伊勢自動車道,tamaki,34.48259312660164,136.6011019223116,gpsDate,https://jinja-net.jp/jinjacho-mie/jsearch3mie.php?jinjya=63404,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,東外城田神社.png,2025/7/18,2025-07-18 17:00:00,2025-07-18 19:30:00,2-88　秋の田の穂の上に霧らふ朝霞いつへの方にわが恋ひ止まむ / 磐姫皇后,9:00,10:00,8:00,12:00
nexco-0101,竹神社駐車場,明和観光,明和町大字斎宮,34.53679961811058,136.618293347268,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/7/19,2025-07-19 17:00:00,2025-07-19 19:30:00,,9:00,10:00,8:00,12:00
nexco-0102,竹神社,明和観光,明和町大字斎宮,34.53728273202614,136.6187386050242,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/8/16,2025-08-16 10:00:00,2025-08-16 18:00:00,,10:00,11:00,8:00,12:00
nexco-0103,さいくう平安の杜,明和観光,明和町斎宮２８００,34.5384344675606,136.6186859688441,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/8/17,2025-08-17 10:00:00,2025-08-17 18:00:00,,9:00,10:00,8:00,12:00
nexco-0104,いつき茶屋,明和観光,明和町斎宮２９６９−４,34.53880028825991,136.6164435621967,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/9/5,2025-09-05 10:00:00,2025-09-05 14:00:00,,9:00,10:00,8:00,12:00
nexco-0105,いつきのみや歴史体験館,明和観光,明和町斎宮３０４６−２５,34.53818794951348,136.61619187758816,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/10/18,2025-10-18 10:00:00,2025-10-18 12:00:00,,9:00,10:00,8:00,12:00
nexco-0106,斎宮歴史博物館,明和観光,明和町竹川５０３,34.54260161304128,136.6097586784656,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/10/18,2025-10-18 13:00:00,2025-10-18 17:00:00,,9:00,10:00,8:00,12:00
nexco-0107,隆子女王の墓,明和観光,明和町馬之上,34.55485620585026,136.6267927326376,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/11/11,2025-11-11 14:00:00,2025-11-11 17:00:00,,9:00,10:00,8:00,12:00
nexco-0108,竹大與杼神社,式内社,明和町大字大淀乙,34.560948605545725,136.65506005850773,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/11/15,2025-11-15 09:00:00,2025-11-15 17:00:00,,9:00,10:00,8:00,12:00
nexco-0109,伊呂上神社跡,式内社,明和町中村,34.582188232638046,136.6390397681774,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,2025/12/16,2025-12-16 13:30:00,2025-12-16 15:30:00,,9:00,10:00,8:00,12:00
nexco-0110,畠田神社 三座,式内社,明和町中村,34.586620926631156, 136.619474704513,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,参拝画像.png,,,,,20:00,21:00,8:00,12:00
nexco-0111,佐支栗栖神社 二座,式内社,明和町中村,34.575343172821825,136.6144077730151,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,,9:00,10:00,8:00,12:00
nexco-0112,麻績神社,式内社,明和町大字中海,34.55670851373701,136.6134325193193,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,,,,,9:00,10:00,8:00,12:00
nexco-0113,宇爾桜神社,駐車場所,明和町有爾中,34.52042645482911,136.61646885959757,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,2026/3/17,2026-03-17 10:00:00,2026-03-17 12:00:00,,9:00,10:00,8:00,12:00
nexco-0114,宇爾桜神社,式内社,明和町有爾中,34.52040104055118,136.61541609260325,gpsDate,https://sapa.c-nexco.co.jp/sapa?sapainfoid=138,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード2.png,,参拝画像.png,2026/3/17,2026-03-17 10:00:00,2026-03-17 12:00:00,2-190　真木柱太き心はありしかどこのあが心鎮めかねつも / 舎人,9:00,10:00,8:00,12:00
nexco-2017,安濃SA,伊勢自動車道,ano,34.778375419739156,136.4715433332016,gpsDate,,100000,https://jinja-net.jp/stamp-jinguu8/image/参拝カード.png,,安濃SA.png,,,,,9:00,10:00,8:00,12:00